Google Chrome|chrome.exe
Avast Secure Browser|AvastBrowser.exe
Paramètres Windows|SystemSettings.exe
Microsoft Edge|msedge.exe
Discord PTB|discordptb.exe
Discord Canary|discordcanary.exe
VirtualBox|VirtualBox.exe
Mozilla Firefox|firefox.exe
Opera|opera.exe
Spotify|spotify.exe
Brave|brave.exe
Vivaldi|vivaldi.exe
Chromium|chromium.exe
Avast Secure Browser|AvastBrowser
Torch Browser|torch.exe
Discord|discord.exe
Skype|skype.exe
Microsoft Teams|teams.exe
Slack|slack.exe
Zoom|zoom.exe
Telegram|telegram.exe
WhatsApp Desktop|whatsapp.exe
Signal|signal.exe
Element (Matrix)|element.exe
WeChat|wechat.exe
Capture Windows|snippingtool.exe
Lightshot|lightshot.exe
Gyazo|gyazo.exe
OBS Studio 64-bit|obs64.exe
OBS Studio 32-bit|obs32.exe
Bandicam|bandicam.exe
Screenpresso|screenpresso.exe
CamStudio|camstudio.exe
Flameshot|flameshot.exe
Steam|steam.exe
Epic Games Launcher|epicgameslauncher.exe
Origin|origin.exe
Riot Client|riotclientservices.exe
Battle.net|battle.net.exe
Ubisoft Connect|uplay.exe
GOG Galaxy|goggalaxy.exe
Roblox|robloxplayerbeta.exe
Minecraft Launcher|minecraftlauncher.exe
Valorant|valorant.exe
Fortnite|fortniteclient-win64-shipping.exe
OneDrive|onedrive.exe
Google Drive|googledrivesync.exe
Dropbox|dropbox.exe
MEGA|mega.exe
Nextcloud|nextcloud.exe
PowerShell|powershell.exe
Invite de commandes (CMD)|cmd.exe
Visual Studio Code|code.exe
Notepad++|notepad++.exe
PuTTY|putty.exe
Comodo Dragon|dragon.exe
SRWare Iron|iron.exe
Pale Moon|palemoon.exe
Waterfox|waterfox.exe
Maxthon|maxthon.exe
Yandex Browser|browser.exe
Facebook Messenger|messenger.exe
Line|line.exe
Viber|viber.exe
ICQ|icq.exe
KakaoTalk|kakaotalk.exe
Tox|qtox.exe
Trillian|trillian.exe
Pidgin|pidgin.exe
ShareX|sharex.exe
Debut Video Capture|debut.exe
Icecream Screen Recorder|screenrecorder.exe
Snagit|snagit32.exe
XSplit Broadcaster|xsplit.core.exe
FastStone Capture|fscapture.exe
Camtasia|camtasia.exe
Dxtory|dxtory.exe
League of Legends|leagueclient.exe
CS:GO|csgo.exe
Dota 2|dota2.exe
Apex Legends|r5apex.exe
Genshin Impact|genshinimpact.exe
Among Us|amongus.exe
Rocket League|rocketleague.exe
PUBG|tslgame.exe
Minecraft Java|javaw.exe
BlueStacks|bluestacks.exe
LDPlayer|ldplayer.exe
NoxPlayer|nox.exe
Gameloop|androidemulator.exe
pCloud|pcloud.exe
Resilio Sync|resilio-sync.exe
Tresorit|tresorit.exe
Zotero|zotero.exe
FileZilla|filezilla.exe
WinSCP|winscp.exe
BitTorrent|bittorrent.exe
uTorrent|utorrent.exe
qBittorrent|qbittorrent.exe
Transmission-Qt|transmission-qt.exe
Node.js|node.exe
Git Bash|git-bash.exe
Cmder|cmder.exe
Terminal Windows|wt.exe
Resource Hacker|reshacker.exe
AutoHotkey|autohotkey.exe
PowerToys|powertoys.exe
Anaconda Navigator|anaconda-navigator.exe
Sublime Text|sublime_text.exe
Atom|atom.exe
JetBrains IntelliJ IDEA|idea64.exe
PyCharm|pycharm64.exe
WebStorm|webstorm64.exe
CLion|clion64.exe
Eclipse|eclipse.exe
NetBeans|netbeans64.exe
Brave Beta|brave_beta.exe
Opera GX|opera_gx.exe
Tor Browser|tor.exe
Safari Windows|safari.exe
Chromodo|chromodo.exe
CometBird|cometbird.exe
Avant Browser|avantbrowser.exe
Messenger|messengerfordesktop.exe
Franz|franz.exe
Rambox|rambox.exe
Spike|spike.exe
Zalo|zalo.exe
Wire|wire.exe
Snip & Sketch|screenSketch.exe
Sniptool|sniptool.exe
ScreenToGif|screentogif.exe
TinyTake|tinytake.exe
Apowersoft Screen Recorder|apowersoftscreenrecorder.exe
VSDC Free Screen Recorder|vsdcscreenrecorder.exe
Streamlabs OBS|streamlabs obs.exe
FBX Game Recorder|fbx.exe
Game Bar (Xbox)|GameBar.exe
NVIDIA ShadowPlay|nvspcaps64.exe
Twitch Desktop App|twitch.exe
GameRanger|gameranger.exe
Itch.io|itch.exe
TLauncher|tlauncher.exe
CurseForge|curseforge.exe
Badlion Client|badlionclient.exe
MultiMC|multimc.exe
GDLauncher|gdlauncher.exe
CloudApp|cloudapp.exe
Jottacloud|jotta.exe
Koofr|koofr.exe
Icedrive|icedrive.exe
MobaXterm|moba.exe
Termius|termius.exe
Hyper Terminal|hyper.exe
Alacritty|alacritty.exe
Console2|console.exe
Wing IDE|wing.exe
Rider (JetBrains)|rider64.exe
PhpStorm (JetBrains)|phpstorm64.exe
RStudio|rstudio.exe
Jupyter Notebook|jupyter-notebook.exe
Thonny|thonny.exe
Arduino IDE|arduino.exe
Scratch Desktop|scratchdesktop.exe
JDownloader|jdownloader2.exe
Internet Download Manager|idman.exe
Free Download Manager|fdm.exe
Deluge|deluge.exe
BitComet|bitcomet.exe
Tixati|tixati.exe
Docker Desktop|docker desktop.exe
Postman|postman.exe
Virtual PC|vpc.exe
Recuva|recuva.exe
CCleaner|ccleaner.exe
TeamViewer|teamviewer.exe
AnyDesk|anydesk.exe
UltraViewer|ultraviewer.exe
RemotePC|remotepc.exe
Everything|everything.exe
Search Everything|search.exe
Everything Toolbar|et.exe
Foxit Reader|foxitreader.exe
SumatraPDF|sumatrapdf.exe
PDF-XChange Editor|pdfxcview.exe
VLC Media Player|vlc.exe
MPC-HC|mpc-hc.exe
KMPlayer|kmplayer.exe
PotPlayer|potplayer.exe
GOM Player|gom.exe
